branch,attack,attack_class,mechanism,strength,regime,rule,n,n_fire,detection_rate
classical,scaling_drift_alpha_0.020,control,scaling_drift,0.02,I_XF,family,240,218,0.9083333333333333
classical,scaling_drift_alpha_0.020,control,scaling_drift,0.02,I_Ym,union,240,0,0.0
classical,scaling_drift_alpha_0.020,control,scaling_drift,0.02,I_Ym,family_v12,240,0,0.0
classical,scaling_drift_alpha_0.020,control,scaling_drift,0.02,I_Ym,family,240,0,0.0
classical,scaling_drift_alpha_0.020,control,scaling_drift,0.02,I_XFY,union,240,240,1.0
classical,scaling_drift_alpha_0.020,control,scaling_drift,0.02,I_XFY,family_v12,240,231,0.9625
classical,scaling_drift_alpha_0.020,control,scaling_drift,0.02,I_XFY,family,240,214,0.8916666666666667
classical,scaling_drift_alpha_0.020,control,scaling_drift,0.02,I_XFY_trusted,exact,240,16,0.06666666666666667
classical,scaling_drift_alpha_0.050,control,scaling_drift,0.05,I_X,union,240,240,1.0
classical,scaling_drift_alpha_0.050,control,scaling_drift,0.05,I_X,family_v12,240,240,1.0
classical,scaling_drift_alpha_0.050,control,scaling_drift,0.05,I_X,family,240,240,1.0
classical,scaling_drift_alpha_0.050,control,scaling_drift,0.05,I_XF,union,240,240,1.0
classical,scaling_drift_alpha_0.050,control,scaling_drift,0.05,I_XF,family_v12,240,240,1.0
classical,scaling_drift_alpha_0.050,control,scaling_drift,0.05,I_XF,family,240,237,0.9875
classical,scaling_drift_alpha_0.050,control,scaling_drift,0.05,I_Ym,union,240,0,0.0
classical,scaling_drift_alpha_0.050,control,scaling_drift,0.05,I_Ym,family_v12,240,0,0.0
classical,scaling_drift_alpha_0.050,control,scaling_drift,0.05,I_Ym,family,240,0,0.0
classical,scaling_drift_alpha_0.050,control,scaling_drift,0.05,I_XFY,union,240,240,1.0
classical,scaling_drift_alpha_0.050,control,scaling_drift,0.05,I_XFY,family_v12,240,240,1.0
classical,scaling_drift_alpha_0.050,control,scaling_drift,0.05,I_XFY,family,240,234,0.975
classical,scaling_drift_alpha_0.050,control,scaling_drift,0.05,I_XFY_trusted,exact,240,35,0.14583333333333334
classical,scaling_drift_alpha_0.100,control,scaling_drift,0.1,I_X,union,240,240,1.0
classical,scaling_drift_alpha_0.100,control,scaling_drift,0.1,I_X,family_v12,240,240,1.0
classical,scaling_drift_alpha_0.100,control,scaling_drift,0.1,I_X,family,240,240,1.0
classical,scaling_drift_alpha_0.100,control,scaling_drift,0.1,I_XF,union,240,240,1.0
classical,scaling_drift_alpha_0.100,control,scaling_drift,0.1,I_XF,family_v12,240,240,1.0
classical,scaling_drift_alpha_0.100,control,scaling_drift,0.1,I_XF,family,240,240,1.0
classical,scaling_drift_alpha_0.100,control,scaling_drift,0.1,I_Ym,union,240,0,0.0
classical,scaling_drift_alpha_0.100,control,scaling_drift,0.1,I_Ym,family_v12,240,0,0.0
classical,scaling_drift_alpha_0.100,control,scaling_drift,0.1,I_Ym,family,240,0,0.0
classical,scaling_drift_alpha_0.100,control,scaling_drift,0.1,I_XFY,union,240,240,1.0
classical,scaling_drift_alpha_0.100,control,scaling_drift,0.1,I_XFY,family_v12,240,240,1.0
classical,scaling_drift_alpha_0.100,control,scaling_drift,0.1,I_XFY,family,240,240,1.0
classical,scaling_drift_alpha_0.100,control,scaling_drift,0.1,I_XFY_trusted,exact,240,63,0.2625
quantum,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_X,union,360,3,0.008333333333333333
quantum,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_X,family_v12,360,3,0.008333333333333333
quantum,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_X,family,360,3,0.008333333333333333
quantum,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_XF,union,360,55,0.1527777777777778
quantum,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_XF,family_v12,360,36,0.1
quantum,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_XF,family,360,35,0.09722222222222222
quantum,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_Ym,union,360,0,0.0
