protocol,dataset_tag,model,svd_dim,attack_family,attack,impact_mean,prediction_change_mean,feature_detectability_mean,feature_prediction_detectability_mean,label_marginal_detectability_mean,joint_outcome_detectability_mean,full_detectability_mean,n_split_clusters,n_model_seeds,raw_integrity_jsd_vs_clean_eval_max,raw_integrity_mmd_vs_clean_eval_max,raw_integrity_ks_reject05_vs_clean_eval_max,raw_integrity_score_jsd_vs_clean_eval_max,raw_integrity_label_prior_shift_max,raw_integrity_label_jsd_max,feature_prediction_structurally_blind,label_marginal_structurally_blind,impact_locus
id,id8c8771f4,qsvc_pauli_xyz_r1,12,target_shift,label_flip_r_0.020,0.012676299758154597,0.0,0.0,0.0,0.35333470146965223,0.005256100551567095,0.0666318096088309,5,4,0.0,0.0,0.0,0.0,0.0234375,0.0002748343945789,True,False,evaluation_or_label_path
id,id8c8771f4,qsvc_zz_r1,12,target_shift,label_flip_r_0.020,0.011792587414813791,0.0,0.0,0.0,0.35333470146965223,0.005191674984421457,0.06660252526012833,5,4,0.0,0.0,0.0,0.0,0.0234375,0.0002748343945789,True,False,evaluation_or_label_path
id,id8c8771f4,qsvc_pauli_xyz_r1,10,target_shift,label_flip_r_0.020,0.01175797187352314,0.0,0.0,0.0,0.35333470146965223,0.0055643452221490666,0.0667719208227318,5,4,0.0,0.0,0.0,0.0,0.0234375,0.0002748343945789,True,False,evaluation_or_label_path
id,id8c8771f4,qsvc_pauli_xyz_r1,8,target_shift,label_flip_r_0.020,0.011740863324239254,0.0,0.0,0.0,0.35333470146965223,0.0073318425389788154,0.06757532869401804,5,4,0.0,0.0,0.0,0.0,0.0234375,0.0002748343945789,True,False,evaluation_or_label_path
id,id8c8771f4,qsvc_z_r1,10,target_shift,label_flip_r_0.020,0.01160971124599404,0.0,0.0,0.0,0.35333470146965223,0.005800766247489044,0.06687938492515906,5,4,0.0,0.0,0.0,0.0,0.0234375,0.0002748343945789,True,False,evaluation_or_label_path
id,id8c8771f4,qsvc_zz_r1,8,target_shift,label_flip_r_0.020,0.011129670340859819,0.0,0.0,0.0,0.35333470146965223,0.006838615292270513,0.06735113449096881,5,4,0.0,0.0,0.0,0.0,0.0234375,0.0002748343945789,True,False,evaluation_or_label_path
id,id8c8771f4,svc_rbf,12,target_shift,label_flip_prior_preserving_r_0.020,0.0109375,0.0,0.0,0.0,0.0,0.004624567024166431,0.0021020759200756503,5,4,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path
id,id8c8771f4,svc_rbf,10,target_shift,label_flip_r_0.020,0.010925714525971771,0.0,0.0,0.0,0.35333470146965223,0.005997580344614512,0.06696884587839791,5,4,0.0,0.0,0.0,0.0,0.0234375,0.0002748343945789,True,False,evaluation_or_label_path
id,id8c8771f4,qsvc_zz_r1,10,target_shift,label_flip_r_0.020,0.010912961111561136,0.0,0.0,0.0,0.35333470146965223,0.005123220184589445,0.06657140944202287,5,4,0.0,0.0,0.0,0.0,0.0234375,0.0002748343945789,True,False,evaluation_or_label_path
id,id8c8771f4,qsvc_z_r1,8,target_shift,label_flip_r_0.020,0.0107029351286152,0.0,0.0,0.0,0.35333470146965223,0.0071259888672993345,0.06748175884325465,5,4,0.0,0.0,0.0,0.0,0.0234375,0.0002748343945789,True,False,evaluation_or_label_path
id,id8c8771f4,svc_rbf,8,target_shift,label_flip_r_0.020,0.01054014523415248,0.0,0.0,0.0,0.35333470146965223,0.007562882897834698,0.06768034703895254,5,4,0.0,0.0,0.0,0.0,0.0234375,0.0002748343945789,True,False,evaluation_or_label_path
