protocol,dataset_tag,model,svd_dim,split_seed,model_seed,impact_mean,detectability_feature_sharednorm_mean,detectability_standard_sharednorm_mean,detectability_label_marginal_sharednorm_mean,detectability_joint_outcome_sharednorm_mean,detectability_full_sharednorm_mean,stealth_standard_sharednorm_mean,stealth_full_sharednorm_mean,n_attacks,seed_unit
id,id8c8771f4,qsvc_z_r1,10,46,42,0.03741202855786189,0.20886038597323614,0.21964831930571405,0.05555555555555555,0.08108478774709667,0.12682984791540458,0.024627061382959406,0.026208448283763914,18,46|42
id,id8c8771f4,qsvc_z_r1,10,46,43,0.024474701302553043,0.2056223173442714,0.21239248280310286,0.09875927420876114,0.08000943502717857,0.13155778679689334,0.018985602380984654,0.019106284866735275,18,46|43
id,id8c8771f4,qsvc_z_r1,10,46,44,0.008050090963397412,0.19221864861066348,0.20424325924305928,0.08641535418570365,0.041139539066849,0.10868194915253541,0.0060077356098267864,0.006876045542097087,18,46|44
id,id8c8771f4,qsvc_z_r1,10,46,45,0.018261336048573183,0.20275142789015294,0.21465369633004006,0.08887557316470082,0.021257133487140277,0.10387741809866029,0.015888374271178004,0.016396043704125545,18,46|45
id,id8c8771f4,qsvc_z_r1,12,42,42,0.04001336520657758,0.22427699462797396,0.23650295328480242,0.07638740501592309,0.0772973503239698,0.13502485225371863,0.023097066224748313,0.02693377033124208,18,42|42
id,id8c8771f4,qsvc_z_r1,12,42,43,0.023417618074876127,0.2185855570210517,0.23903220372256076,0.09721925447629062,0.02124798942688422,0.11425520645247686,0.02112622632861054,0.020828872089719938,18,42|43
id,id8c8771f4,qsvc_z_r1,12,42,44,0.032760303195352204,0.21335603565818403,0.2205323728043559,0.06423425544651948,0.08777237101697656,0.13176907792684955,0.019049801659316436,0.02064676244343929,18,42|44
id,id8c8771f4,qsvc_z_r1,12,42,45,0.03460330179080178,0.21126363793891026,0.21716724926610004,0.16666666666666666,0.08654617268602528,0.14861210852980544,0.018944801190197577,0.02025410941853796,18,42|45
id,id8c8771f4,qsvc_z_r1,12,43,42,0.023283458170031794,0.2304769162253756,0.237775839394706,0.08641535418570365,0.04060366368129049,0.12063203494151671,0.019634402917604887,0.019772799824687562,18,43|42
id,id8c8771f4,qsvc_z_r1,12,43,43,0.04254230126205931,0.21612493613195694,0.2255197225096327,0.09721925447629062,0.0966494855980579,0.1436149842710365,0.024909561680425487,0.026512893537937697,18,43|43
