protocol,dataset_tag,model,svd_dim,split_seed,model_seed,impact_mean,detectability_feature_sharednorm_mean,detectability_standard_sharednorm_mean,detectability_label_marginal_sharednorm_mean,detectability_joint_outcome_sharednorm_mean,detectability_full_sharednorm_mean,stealth_standard_sharednorm_mean,stealth_full_sharednorm_mean,n_attacks,seed_unit,gate,max_train,max_test
id,id6292a46b,qsvc_pauli_xyz_r1,12,45,42,0.016134703038434735,0.2282004916925665,0.2142741913999656,0.0920060883452081,0.04675277351726774,0.11589752817060155,0.015082678269334598,0.014608454153550825,18,45|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_pauli_xyz_r1,12,45,43,0.031123890578644516,0.20337368145325724,0.2067555146787798,0.10220889783263903,0.0846186508376722,0.13223028259715985,0.026584817202034337,0.025449467138295892,18,45|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_pauli_xyz_r1,12,46,42,0.04167694766653099,0.20218362497673742,0.20814416949534828,0.05555555555555555,0.0786380227845509,0.12153435481956897,0.033052094815251114,0.03511627312728085,18,46|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_pauli_xyz_r1,12,46,43,0.008300184358652095,0.20899026655592637,0.2057341209665788,0.09875927420876114,0.08002177970206655,0.12914217552674273,0.007761230644198799,0.007464207546170217,18,46|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_z_r1,8,42,42,0.026593637346325513,0.2162951474369248,0.2197004525517188,0.07638740501592309,0.07320079249180614,0.12705278024525019,0.016099477985603548,0.019911005752625582,18,42|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_z_r1,8,42,43,0.027323400290470177,0.19987416548650516,0.20375239595621764,0.09721925447629062,0.06417801058713604,0.12093983142846652,0.020682433899615504,0.02268954256024586,18,42|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_z_r1,8,43,42,0.02070115171565506,0.19141238815043313,0.18591617995845924,0.08641535418570365,0.0427795972098584,0.1027630376595033,0.018013694266210446,0.018119494025738467,18,43|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_z_r1,8,43,43,0.019324917291987168,0.19668292882599345,0.19716122104859735,0.09721925447629062,0.11167339219285449,0.14013185037374937,0.01650172897303289,0.01487614649423918,18,43|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_z_r1,8,44,42,0.020779311161735606,0.20880337052007591,0.20858403672330159,0.11727515281585174,0.09054140026152382,0.138326677621139,0.018251644009644394,0.01752333348779127,18,44|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_z_r1,8,44,43,0.03265709487147658,0.1992042244238686,0.20316638165115938,0.09721925447629062,0.07680149886715952,0.12646468453572876,0.025981338023070264,0.027281992449994956,18,44|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_z_r1,8,45,42,0.019644022217877713,0.2053331750318027,0.22762546615855994,0.0920060883452081,0.06865273980479196,0.1307070673044196,0.017316051924419353,0.017191519782296823,18,45|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_z_r1,8,45,43,0.018835270545143182,0.1993142160338011,0.1948712982494581,0.10220889783263903,0.09440802208103864,0.13235846355166395,0.016802845369918128,0.015755277093273165,18,45|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_z_r1,8,46,42,0.02229493114909781,0.20574155553990217,0.19461438885440777,0.05555555555555555,0.05735287571115314,0.10693936773495527,0.02031817910791334,0.020166760715044668,18,46|42,gate5a_id_unsw,128,128
