protocol,dataset_tag,model,svd_dim,attack_family,attack,impact_mean,prediction_change_mean,feature_detectability_mean,feature_prediction_detectability_mean,label_marginal_detectability_mean,joint_outcome_detectability_mean,full_detectability_mean,n_split_clusters,n_model_seeds,raw_integrity_jsd_vs_clean_eval_max,raw_integrity_mmd_vs_clean_eval_max,raw_integrity_ks_reject05_vs_clean_eval_max,raw_integrity_score_jsd_vs_clean_eval_max,raw_integrity_label_prior_shift_max,raw_integrity_label_jsd_max,feature_prediction_structurally_blind,label_marginal_structurally_blind,impact_locus,gate,max_train,max_test
ood,tr993984ca__teb9107599,qsvc_zz_r1,8,target_shift,label_flip_r_0.100,0.03982415217684123,0.0,0.0,0.0,0.8531189888323967,0.04533385963200741,0.17571884325680273,5,2,0.0,0.0,0.0,0.0,0.046875,0.0011014601470781,True,False,evaluation_or_label_path,gate6_ood_unsw,128,128
id,id6292a46b,qsvc_pauli_xyz_r1,10,target_shift,label_flip_r_0.050,0.03981266613288474,0.0,0.0,0.0,0.5235872621545179,0.03186140050267323,0.10968013880203653,5,2,0.0,0.0,0.0,0.0,0.0390625,0.0007643013153583,True,False,evaluation_or_label_path,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_pauli_xyz_r1,8,target_shift,label_flip_r_0.050,0.03948805711434393,0.0,0.0,0.0,0.5235872621545179,0.047496807647686524,0.11678714204976984,5,2,0.0,0.0,0.0,0.0,0.0390625,0.0007643013153583,True,False,evaluation_or_label_path,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_pauli_xyz_r1,12,target_shift,label_flip_r_0.050,0.03930493945324034,0.0,0.0,0.0,0.5235872621545179,0.02863981484025906,0.10821578168275736,5,2,0.0,0.0,0.0,0.0,0.0390625,0.0007643013153583,True,False,evaluation_or_label_path,gate5a_id_unsw,128,128
id,idcc6a61e9,qsvc_z_r1,10,target_shift,label_flip_r_0.100,0.039202960179989796,0.0,0.0,0.0,0.8306353631849717,0.02283121010771602,0.16140243426441123,5,2,0.0,0.0,0.0,0.0,0.03125,0.0004888385244522,True,False,evaluation_or_label_path,gate5b_id_ton_iot,128,128
id,id8c8771f4,svc_rbf,12,target_shift,label_flip_r_0.050,0.038445653414015,0.0,0.0,0.0,0.6256767887215244,0.01591905126903376,0.12099534852620161,5,2,0.0,0.0,0.0,0.0,0.03125,0.0004888385244522,True,False,evaluation_or_label_path,gate2_id_256,256,256
id,idcc6a61e9,qsvc_pauli_xyz_r1,8,target_shift,label_flip_prior_preserving_r_0.100,0.0375,0.0,0.0,0.0,0.0,0.01893561886143204,0.00860709948246911,5,2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path,gate5b_id_ton_iot,128,128
id,idcc6a61e9,qsvc_zz_r1,8,target_shift,label_flip_r_0.050,0.03688953725078736,0.0,0.0,0.0,0.5235872621545179,0.020172532451552865,0.10436701696061819,5,2,0.0,0.0,0.0,0.0,0.0390625,0.0007643013153583,True,False,evaluation_or_label_path,gate5b_id_ton_iot,128,128
id,id6292a46b,qsvc_z_r1,8,target_shift,label_flip_r_0.050,0.03567485510817612,0.0,0.0,0.0,0.5235872621545179,0.04275668153905166,0.11463253927311763,5,2,0.0,0.0,0.0,0.0,0.0390625,0.0007643013153583,True,False,evaluation_or_label_path,gate5a_id_unsw,128,128
ood,tr993984ca__teb9107599,svc_rbf,12,target_shift,label_flip_r_0.050,0.03499211045292439,0.0,0.0,0.0,0.4147281550477782,0.021864010357943726,0.08534330562593409,5,2,0.0,0.0,0.0,0.0,0.0234375,0.0002748343945789,True,False,evaluation_or_label_path,gate6_ood_unsw,128,128
id,id8c8771f4,svc_rbf,10,target_shift,label_flip_r_0.050,0.03472715056246251,0.0,0.0,0.0,0.6256767887215244,0.017082125200338714,0.12152401849497659,5,2,0.0,0.0,0.0,0.0,0.03125,0.0004888385244522,True,False,evaluation_or_label_path,gate2_id_256,256,256
