gate,svd_dim,split_seed,model_seed,n_eval,near_duplicate_rows_1e-6,near_duplicate_row_fraction_1e-6,max_cluster_mass_width_0.01sd,mean_cluster_mass_width_0.01sd,max_cluster_mass_width_0.001sd,n_features_cluster_ge_0.20_width_0.01sd,n_features
gate5b_id_ton_iot,12,46,42,128,45,0.3515625,0.8984375,0.5299479166666666,0.6015625,11,12
gate5b_id_ton_iot,12,46,43,128,29,0.2265625,0.90625,0.4830729166666667,0.5546875,12,12
gate6_ood_unsw,8,42,42,128,24,0.1875,0.5859375,0.421875,0.453125,8,8
gate6_ood_unsw,8,42,43,128,22,0.171875,0.6171875,0.40234375,0.4140625,8,8
gate6_ood_unsw,8,43,42,128,24,0.1875,0.546875,0.4140625,0.484375,8,8
gate6_ood_unsw,8,43,43,128,22,0.171875,0.5625,0.4775390625,0.515625,8,8
gate6_ood_unsw,8,44,42,128,18,0.140625,0.5546875,0.4189453125,0.4765625,7,8
gate6_ood_unsw,8,44,43,128,26,0.203125,0.5,0.4111328125,0.484375,8,8
gate6_ood_unsw,8,45,42,128,25,0.1953125,0.546875,0.4755859375,0.5390625,8,8
gate6_ood_unsw,8,45,43,128,21,0.1640625,0.6015625,0.4365234375,0.453125,8,8
gate6_ood_unsw,8,46,42,128,25,0.1953125,0.5546875,0.421875,0.53125,8,8
gate6_ood_unsw,8,46,43,128,14,0.109375,0.6484375,0.4267578125,0.421875,8,8
gate6_ood_unsw,10,42,42,128,6,0.046875,0.5859375,0.3859375,0.453125,9,10
gate6_ood_unsw,10,42,43,128,19,0.1484375,0.78125,0.43984375,0.4140625,10,10
gate6_ood_unsw,10,43,42,128,19,0.1484375,0.8203125,0.45234375,0.484375,10,10
gate6_ood_unsw,10,43,43,128,22,0.171875,0.859375,0.5125,0.515625,10,10
gate6_ood_unsw,10,44,42,128,15,0.1171875,0.7265625,0.45078125,0.4765625,9,10
gate6_ood_unsw,10,44,43,128,18,0.140625,0.7109375,0.44375,0.484375,10,10
gate6_ood_unsw,10,45,42,128,18,0.140625,0.78125,0.50546875,0.5390625,10,10
gate6_ood_unsw,10,45,43,128,17,0.1328125,0.765625,0.46796875,0.453125,10,10
gate6_ood_unsw,10,46,42,128,21,0.1640625,0.8671875,0.46875,0.53125,10,10
gate6_ood_unsw,10,46,43,128,2,0.015625,0.6484375,0.3875,0.421875,9,10
gate6_ood_unsw,12,42,42,128,0,0.0,0.5859375,0.37109375,0.453125,11,12
gate6_ood_unsw,12,42,43,128,0,0.0,0.78125,0.4147135416666667,0.4140625,12,12
gate6_ood_unsw,12,43,42,128,1,0.0078125,0.8203125,0.4231770833333333,0.484375,11,12
gate6_ood_unsw,12,43,43,128,0,0.0,0.859375,0.4837239583333333,0.515625,12,12
gate6_ood_unsw,12,44,42,128,0,0.0,0.7265625,0.42578125,0.4765625,11,12
gate6_ood_unsw,12,44,43,128,0,0.0,0.7109375,0.4205729166666667,0.484375,12,12
gate6_ood_unsw,12,45,42,128,1,0.0078125,0.78125,0.478515625,0.5390625,12,12
gate6_ood_unsw,12,45,43,128,1,0.0078125,0.765625,0.4375,0.453125,12,12
gate6_ood_unsw,12,46,42,128,2,0.015625,0.8671875,0.453125,0.53125,12,12
gate6_ood_unsw,12,46,43,128,1,0.0078125,0.6484375,0.3658854166666667,0.421875,10,12
