gate,svd_dim,model,target,target_kind,n,n_fire,false_alarm_rate,ci95_low,ci95_high
gate3b_ood_tue_fri_portscan,8,qsvc_zz_r1,integrity_jsd_vs_clean_eval,sensor,200,7,0.035,0.014185525898419248,0.07078099835097719
gate3b_ood_tue_fri_portscan,8,qsvc_zz_r1,integrity_mmd_vs_clean_eval,sensor,200,4,0.02,0.00547556587955645,0.05041360908989634
gate3b_ood_tue_fri_portscan,8,qsvc_zz_r1,integrity_ks_reject05_vs_clean_eval,sensor,200,4,0.02,0.00547556587955645,0.05041360908989634
gate3b_ood_tue_fri_portscan,8,qsvc_zz_r1,integrity_score_jsd_vs_clean_eval,sensor,200,5,0.025,0.008166166190842514,0.057374351126845816
gate3b_ood_tue_fri_portscan,8,qsvc_zz_r1,integrity_pred_pos_rate_shift,sensor,200,24,0.12,0.07842024799636266,0.17327235116412226
gate3b_ood_tue_fri_portscan,8,qsvc_zz_r1,integrity_pred_jsd,sensor,200,3,0.015,0.00310410762155351,0.04320828191771261
gate3b_ood_tue_fri_portscan,8,qsvc_zz_r1,integrity_label_prior_shift,sensor,200,5,0.025,0.008166166190842514,0.057374351126845816
gate3b_ood_tue_fri_portscan,8,qsvc_zz_r1,integrity_label_jsd,sensor,200,5,0.025,0.008166166190842514,0.057374351126845816
gate3b_ood_tue_fri_portscan,8,qsvc_zz_r1,integrity_confusion_profile_l1,sensor,200,3,0.015,0.00310410762155351,0.04320828191771261
gate3b_ood_tue_fri_portscan,8,qsvc_zz_r1,integrity_confusion_profile_jsd,sensor,200,8,0.04,0.017424808994480605,0.07729196822601608
gate3b_ood_tue_fri_portscan,8,qsvc_zz_r1,I_X,regime,200,15,0.075,0.04258280373709265,0.12068422539966124
gate3b_ood_tue_fri_portscan,8,qsvc_zz_r1,I_XF,regime,200,42,0.21,0.15573975672412838,0.27306870461379884
gate3b_ood_tue_fri_portscan,8,qsvc_zz_r1,I_Ym,regime,200,5,0.025,0.008166166190842514,0.057374351126845816
gate3b_ood_tue_fri_portscan,8,qsvc_zz_r1,I_XFY,regime,200,49,0.245,0.1870841260760019,0.3106398658615987
gate3b_ood_tue_fri_portscan,8,svc_rbf,integrity_jsd_vs_clean_eval,sensor,200,7,0.035,0.014185525898419248,0.07078099835097719
gate3b_ood_tue_fri_portscan,8,svc_rbf,integrity_mmd_vs_clean_eval,sensor,200,3,0.015,0.00310410762155351,0.04320828191771261
gate3b_ood_tue_fri_portscan,8,svc_rbf,integrity_ks_reject05_vs_clean_eval,sensor,200,4,0.02,0.00547556587955645,0.05041360908989634
gate3b_ood_tue_fri_portscan,8,svc_rbf,integrity_score_jsd_vs_clean_eval,sensor,200,18,0.09,0.05421425445609637,0.13850820847382211
gate3b_ood_tue_fri_portscan,8,svc_rbf,integrity_pred_pos_rate_shift,sensor,200,2,0.01,0.001213349013736031,0.03565466839723975
gate3b_ood_tue_fri_portscan,8,svc_rbf,integrity_pred_jsd,sensor,200,5,0.025,0.008166166190842514,0.057374351126845816
gate3b_ood_tue_fri_portscan,8,svc_rbf,integrity_label_prior_shift,sensor,200,5,0.025,0.008166166190842514,0.057374351126845816
gate3b_ood_tue_fri_portscan,8,svc_rbf,integrity_label_jsd,sensor,200,5,0.025,0.008166166190842514,0.057374351126845816
gate3b_ood_tue_fri_portscan,8,svc_rbf,integrity_confusion_profile_l1,sensor,200,3,0.015,0.00310410762155351,0.04320828191771261
gate3b_ood_tue_fri_portscan,8,svc_rbf,integrity_confusion_profile_jsd,sensor,200,6,0.03,0.011087455672254776,0.06415062670502698
gate3b_ood_tue_fri_portscan,8,svc_rbf,I_X,regime,200,14,0.07,0.038795570429562824,0.1146597335371105
gate3b_ood_tue_fri_portscan,8,svc_rbf,I_XF,regime,200,34,0.17,0.12069562323621741,0.2293716003938861
gate3b_ood_tue_fri_portscan,8,svc_rbf,I_Ym,regime,200,5,0.025,0.008166166190842514,0.057374351126845816
gate3b_ood_tue_fri_portscan,8,svc_rbf,I_XFY,regime,200,41,0.205,0.15131057199551942,0.26765392078528527
gate3b_ood_tue_fri_portscan,10,qsvc_zz_r1,integrity_jsd_vs_clean_eval,sensor,200,4,0.02,0.00547556587955645,0.05041360908989634
gate3b_ood_tue_fri_portscan,10,qsvc_zz_r1,integrity_mmd_vs_clean_eval,sensor,200,4,0.02,0.00547556587955645,0.05041360908989634
gate3b_ood_tue_fri_portscan,10,qsvc_zz_r1,integrity_ks_reject05_vs_clean_eval,sensor,200,4,0.02,0.00547556587955645,0.05041360908989634
gate3b_ood_tue_fri_portscan,10,qsvc_zz_r1,integrity_score_jsd_vs_clean_eval,sensor,200,12,0.06,0.031383953893483446,0.10246183130832447
