all,attack_family,attack,target,target_kind,n,n_fire,detection_rate,ci95_low,ci95_high
all_environments,covariate_shift,scaling_drift_alpha_0.050,integrity_confusion_profile_jsd_delta,sensor_exact,600,359,0.5983333333333334,0.557868689717137,0.6378252138056053
all_environments,covariate_shift,scaling_drift_alpha_0.050,label_flip_rate,sensor_exact,600,0,0.0,0.0,0.006129271330669258
all_environments,covariate_shift,scaling_drift_alpha_0.050,I_XF_item_aligned,regime_exact,600,365,0.6083333333333333,0.5679874751981395,0.6476073795024757
all_environments,covariate_shift,scaling_drift_alpha_0.050,I_XFY_item_aligned,regime_exact,600,365,0.6083333333333333,0.5679874751981395,0.6476073795024757
all_environments,covariate_shift,scaling_drift_alpha_0.100,integrity_jsd_vs_clean_eval,sensor,600,553,0.9216666666666666,0.8971930638762359,0.9418783759007847
all_environments,covariate_shift,scaling_drift_alpha_0.100,integrity_mmd_vs_clean_eval,sensor,600,329,0.5483333333333333,0.5075246208656778,0.5886640983540217
all_environments,covariate_shift,scaling_drift_alpha_0.100,integrity_ks_reject05_vs_clean_eval,sensor,600,600,1.0,0.9938707286693308,1.0
all_environments,covariate_shift,scaling_drift_alpha_0.100,integrity_score_jsd_vs_clean_eval,sensor,600,566,0.9433333333333334,0.9217111453958571,0.9604411514358697
all_environments,covariate_shift,scaling_drift_alpha_0.100,integrity_pred_pos_rate_shift,sensor,600,244,0.4066666666666667,0.3670722285921249,0.4471843563719328
all_environments,covariate_shift,scaling_drift_alpha_0.100,integrity_pred_jsd,sensor,600,260,0.43333333333333335,0.3932623947062045,0.4740635841158101
all_environments,covariate_shift,scaling_drift_alpha_0.100,integrity_label_prior_shift,sensor,600,0,0.0,0.0,0.006129271330669258
all_environments,covariate_shift,scaling_drift_alpha_0.100,integrity_label_jsd,sensor,600,0,0.0,0.0,0.006129271330669258
all_environments,covariate_shift,scaling_drift_alpha_0.100,integrity_confusion_profile_l1,sensor,600,237,0.395,0.35565144872550003,0.4353873429643926
all_environments,covariate_shift,scaling_drift_alpha_0.100,integrity_confusion_profile_jsd,sensor,600,256,0.4266666666666667,0.3867038212096473,0.46735479200774044
all_environments,covariate_shift,scaling_drift_alpha_0.100,I_X,regime,600,600,1.0,0.9938707286693308,1.0
all_environments,covariate_shift,scaling_drift_alpha_0.100,I_XF,regime,600,600,1.0,0.9938707286693308,1.0
all_environments,covariate_shift,scaling_drift_alpha_0.100,I_Ym,regime,600,0,0.0,0.0,0.006129271330669258
all_environments,covariate_shift,scaling_drift_alpha_0.100,I_XFY,regime,600,600,1.0,0.9938707286693308,1.0
all_environments,covariate_shift,scaling_drift_alpha_0.100,integrity_pred_disagreement,sensor_exact,600,401,0.6683333333333333,0.6290690731684311,0.7059305227456115
all_environments,covariate_shift,scaling_drift_alpha_0.100,integrity_confusion_profile_l1_delta,sensor_exact,600,394,0.6566666666666666,0.6171409027852353,0.6946412626058565
all_environments,covariate_shift,scaling_drift_alpha_0.100,integrity_confusion_profile_jsd_delta,sensor_exact,600,394,0.6566666666666666,0.6171409027852353,0.6946412626058565
all_environments,covariate_shift,scaling_drift_alpha_0.100,label_flip_rate,sensor_exact,600,0,0.0,0.0,0.006129271330669258
all_environments,covariate_shift,scaling_drift_alpha_0.100,I_XF_item_aligned,regime_exact,600,401,0.6683333333333333,0.6290690731684311,0.7059305227456115
all_environments,covariate_shift,scaling_drift_alpha_0.100,I_XFY_item_aligned,regime_exact,600,401,0.6683333333333333,0.6290690731684311,0.7059305227456115
all_environments,pipeline,feature_dropout_p_0.020,integrity_jsd_vs_clean_eval,sensor,600,0,0.0,0.0,0.006129271330669258
all_environments,pipeline,feature_dropout_p_0.020,integrity_mmd_vs_clean_eval,sensor,600,0,0.0,0.0,0.006129271330669258
all_environments,pipeline,feature_dropout_p_0.020,integrity_ks_reject05_vs_clean_eval,sensor,600,0,0.0,0.0,0.006129271330669258
all_environments,pipeline,feature_dropout_p_0.020,integrity_score_jsd_vs_clean_eval,sensor,600,0,0.0,0.0,0.006129271330669258
all_environments,pipeline,feature_dropout_p_0.020,integrity_pred_pos_rate_shift,sensor,600,0,0.0,0.0,0.006129271330669258
all_environments,pipeline,feature_dropout_p_0.020,integrity_pred_jsd,sensor,600,0,0.0,0.0,0.006129271330669258
all_environments,pipeline,feature_dropout_p_0.020,integrity_label_prior_shift,sensor,600,0,0.0,0.0,0.006129271330669258
all_environments,pipeline,feature_dropout_p_0.020,integrity_label_jsd,sensor,600,0,0.0,0.0,0.006129271330669258
all_environments,pipeline,feature_dropout_p_0.020,integrity_confusion_profile_l1,sensor,600,0,0.0,0.0,0.006129271330669258
all_environments,pipeline,feature_dropout_p_0.020,integrity_confusion_profile_jsd,sensor,600,0,0.0,0.0,0.006129271330669258
all_environments,pipeline,feature_dropout_p_0.020,I_X,regime,600,0,0.0,0.0,0.006129271330669258
all_environments,pipeline,feature_dropout_p_0.020,I_XF,regime,600,0,0.0,0.0,0.006129271330669258
all_environments,pipeline,feature_dropout_p_0.020,I_Ym,regime,600,0,0.0,0.0,0.006129271330669258
all_environments,pipeline,feature_dropout_p_0.020,I_XFY,regime,600,0,0.0,0.0,0.006129271330669258
all_environments,pipeline,feature_dropout_p_0.020,integrity_pred_disagreement,sensor_exact,600,293,0.48833333333333334,0.4476455372385918,0.5291364826599279
all_environments,pipeline,feature_dropout_p_0.020,integrity_confusion_profile_l1_delta,sensor_exact,600,286,0.4766666666666667,0.43606910842821484,0.5174949363140446
all_environments,pipeline,feature_dropout_p_0.020,integrity_confusion_profile_jsd_delta,sensor_exact,600,286,0.4766666666666667,0.43606910842821484,0.5174949363140446
all_environments,pipeline,feature_dropout_p_0.020,label_flip_rate,sensor_exact,600,0,0.0,0.0,0.006129271330669258
