gate,split_seed,regime,rule,n,n_fire,false_alarm_rate
gate6_ood_unsw,44,I_X,family,240,3,0.0125
gate6_ood_unsw,44,I_XF,union,240,35,0.14583333333333334
gate6_ood_unsw,44,I_XF,family,240,12,0.05
gate6_ood_unsw,44,I_Ym,union,240,12,0.05
gate6_ood_unsw,44,I_Ym,family,240,12,0.05
gate6_ood_unsw,44,I_XFY,union,240,47,0.19583333333333333
gate6_ood_unsw,44,I_XFY,family,240,14,0.058333333333333334
gate6_ood_unsw,45,I_X,union,240,18,0.075
gate6_ood_unsw,45,I_X,family,240,7,0.029166666666666667
gate6_ood_unsw,45,I_XF,union,240,39,0.1625
gate6_ood_unsw,45,I_XF,family,240,6,0.025
gate6_ood_unsw,45,I_Ym,union,240,30,0.125
gate6_ood_unsw,45,I_Ym,family,240,30,0.125
gate6_ood_unsw,45,I_XFY,union,240,62,0.25833333333333336
gate6_ood_unsw,45,I_XFY,family,240,11,0.04583333333333333
gate6_ood_unsw,46,I_X,union,240,55,0.22916666666666666
gate6_ood_unsw,46,I_X,family,240,36,0.15
gate6_ood_unsw,46,I_XF,union,240,74,0.30833333333333335
gate6_ood_unsw,46,I_XF,family,240,29,0.12083333333333333
gate6_ood_unsw,46,I_Ym,union,240,0,0.0
gate6_ood_unsw,46,I_Ym,family,240,0,0.0
gate6_ood_unsw,46,I_XFY,union,240,76,0.31666666666666665
gate6_ood_unsw,46,I_XFY,family,240,26,0.10833333333333334
